"Año","Municipios","Subregión","Area en Pasto de Corte (Hectarea)","Area en Pasto Natural (Hectarea)","Area en Pasto Mejorado (Hectarea)","Area en Pasto Cultivo Forrajero (Hectarea)","Área en Pasto Sistema Silvopastoril (Hectárea)","Total (Hectareas)"
"2,001","Sincelejo","Montes de María","246.00","23,000.00","320.00","null","null","23,566.00"
"2,001","Buenavista","Sabanas","80.00","12,100.00","250.00","null","null","12,430.00"
"2,001","Caimito","San Jorge","null","20,500.00","15,980.00","null","null","36,480.00"
"2,001","Colosó","Montes de María","18.00","1,300.00","null","null","null","1,318.00"
"2,001","Corozal","Sabanas","10.00","28,000.00","null","null","null","28,010.00"
"2,001","Chalán","Montes de María","null","1,192.00","null","null","null","1,192.00"
"2,001","El Roble","Sabanas","5.00","15,000.00","1,000.00","null","null","16,005.00"
"2,001","Galeras","Sabanas","25.00","24,200.00","null","null","null","24,225.00"
"2,001","Guaranda","Mojana","null","15,000.00","300.00","null","null","15,300.00"
"2,001","La Unión","San Jorge","7.00","12,800.00","1,400.00","null","null","14,207.00"
"2,001","Los Palmitos","Sabanas","15.00","14,200.00","null","null","null","14,215.00"
"2,001","Majagual","Mojana","null","51,000.00","2,000.00","null","null","53,000.00"
"2,001","Morroa","Montes de María","50.00","8,145.00","20.00","null","null","8,215.00"
"2,001","Ovejas","Montes de María","50.00","25,250.00","20.00","null","null","25,320.00"
"2,001","San Antonio de Palmito","Golfo de Morrosquillo","35.00","11,650.00","1,500.00","null","null","13,185.00"
"2,001","Sampués","Sabanas","80.00","17,980.00","250.00","null","null","18,310.00"
"2,001","San Benito Abad","San Jorge","10.00","27,990.00","12,000.00","null","null","40,000.00"
"2,001","San Juan de Betulia","Sabanas","11.00","14,913.00","100.00","null","null","15,024.00"
"2,001","San Marcos","San Jorge","185.00","42,691.00","5,298.00","null","null","48,174.00"
"2,001","San Onofre","Golfo de Morrosquillo","218.00","78,450.00","270.00","null","null","78,938.00"
"2,001","San Pedro","Sabanas","92.00","18,239.00","null","null","null","18,331.00"
"2,001","San Luis de Sincé","Sabanas","350.00","32,000.00","1,950.00","null","null","34,300.00"
"2,001","Sucre","Mojana","null","23,000.00","null","null","null","23,000.00"
"2,001","Santiago de Tolú","Golfo de Morrosquillo","60.00","31,000.00","null","null","null","31,060.00"
"2,001","Toluviejo","Golfo de Morrosquillo","100.00","23,448.00","null","null","null","23,548.00"
"2,002","Sincelejo","Sabanas","250.00","23,000.00","350.00","null","null","23,600.00"
"2,002","Buenavista","Sabanas","80.00","12,016.00","200.00","null","null","12,296.00"
"2,002","Caimito","San Jorge","null","20,500.00","15,980.00","null","null","36,480.00"
"2,002","Colosó","Montes de María","18.00","1,300.00","null","null","null","1,318.00"
"2,002","Corozal","Sabanas","10.00","23,250.00","null","null","null","23,260.00"
"2,002","Chalán","Montes de María","null","1,278.00","null","null","null","1,278.00"
"2,002","El Roble","Sabanas","5.00","15,000.00","1,000.00","null","null","16,005.00"
"2,002","Galeras","Sabanas","30.00","24,155.00","null","null","null","24,185.00"
"2,002","Guaranda","Mojana","null","15,000.00","400.00","null","null","15,400.00"
"2,002","La Unión","San Jorge","12.00","12,863.00","1,474.00","null","null","14,349.00"
"2,002","Los Palmitos","Sabanas","14.00","14,201.00","null","null","null","14,215.00"
"2,002","Majagual","Mojana","null","51,000.00","2,200.00","null","null","53,200.00"
"2,002","Morroa","Montes de María","55.00","8,100.00","15.00","null","null","8,170.00"
"2,002","Ovejas","Montes de María","50.00","25,250.00","200.00","null","null","25,500.00"
"2,002","San Antonio de Palmito","Golfo de Morrosquillo","40.00","6,654.00","6,491.00","null","null","13,185.00"
"2,002","Sampués","Sabanas","100.00","17,990.00","30.00","null","null","18,120.00"
"2,002","San Benito Abad","San Jorge","15.00","26,900.00","13,090.00","null","null","40,005.00"
"2,002","San Juan de Betulia","Sabanas","5.00","14,847.00","80.00","null","null","14,932.00"
"2,002","San Marcos","San Jorge","190.00","37,746.00","10,238.00","null","null","48,174.00"
"2,002","San Onofre","Golfo de Morrosquillo","550.00","78,200.00","1,500.00","null","null","80,250.00"
"2,002","San Pedro","Sabanas","92.00","18,200.00","null","null","null","18,292.00"
"2,002","San Luis de Sincé","Sabanas","380.00","32,000.00","1,950.00","null","null","34,330.00"
"2,002","Sucre","Mojana","null","23,441.00","578.00","null","null","24,019.00"
"2,002","Santiago de Tolú","Golfo de Morrosquillo","60.00","31,000.00","null","null","null","31,060.00"
"2,002","Toluviejo","Golfo de Morrosquillo","100.00","23,448.00","null","null","null","23,548.00"
"2,003","Sincelejo","Montes de María","300.00","23,000.00","400.00","null","null","23,700.00"
"2,003","Buenavista","Sabanas","40.00","12,056.00","200.00","null","null","12,296.00"
"2,003","Caimito","San Jorge","null","20,500.00","15,980.00","null","null","36,480.00"
"2,003","Colosó","Montes de María","10.00","1,308.00","null","null","null","1,318.00"
"2,003","Corozal","Sabanas","30.00","14,000.00","null","null","null","14,030.00"
"2,003","Coveñas","Golfo de Morrosquillo","5.00","2,600.00","null","null","null","2,605.00"
"2,003","Chalán","Montes de María","null","540.00","null","null","null","540.00"
"2,003","El Roble","Sabanas","5.00","12,000.00","1,000.00","null","null","13,005.00"
"2,003","Galeras","Sabanas","95.00","24,170.00","null","null","null","24,265.00"
"2,003","Guaranda","Mojana","null","13,100.00","2,300.00","null","null","15,400.00"
"2,003","La Unión","San Jorge","15.00","12,850.00","1,485.00","null","null","14,350.00"
"2,003","Los Palmitos","Sabanas","15.00","14,204.00","null","null","null","14,219.00"
"2,003","Majagual","Mojana","null","45,000.00","2,500.00","null","null","47,500.00"
"2,003","Morroa","Montes de María","60.00","8,200.00","5.00","null","null","8,265.00"
"2,003","Ovejas","Montes de María","50.00","25,250.00","40.00","null","null","25,340.00"
"2,003","San Antonio de Palmito","Golfo de Morrosquillo","40.00","6,654.00","6,491.00","null","null","13,185.00"
"2,003","Sampués","Sabanas","110.00","17,880.00","130.00","null","null","18,120.00"
